pillar,period,pain_point,count
skincare,2022-07-18,Quality,4
skincare,2022-07-18,Availability,0
skincare,2022-07-18,Sustainability,0
skincare,2022-07-18,Compatibility,5
skincare,2022-07-25,Price,1
skincare,2022-07-25,Packaging,0
skincare,2022-07-25,Quality,10
skincare,2022-07-25,Availability,0
skincare,2022-07-25,Sustainability,0
skincare,2022-07-25,Compatibility,7
skincare,2022-08-01,Price,3
skincare,2022-08-01,Packaging,1
skincare,2022-08-01,Quality,5
skincare,2022-08-01,Availability,0
skincare,2022-08-01,Sustainability,0
skincare,2022-08-01,Compatibility,18
skincare,2022-08-08,Price,0
skincare,2022-08-08,Packaging,0
skincare,2022-08-08,Quality,12
skincare,2022-08-08,Availability,0
skincare,2022-08-08,Sustainability,0
skincare,2022-08-08,Compatibility,10
skincare,2022-08-15,Price,1
skincare,2022-08-15,Packaging,1
skincare,2022-08-15,Quality,9
skincare,2022-08-15,Availability,0
skincare,2022-08-15,Sustainability,2
skincare,2022-08-15,Compatibility,9
skincare,2022-08-22,Price,0
skincare,2022-08-22,Packaging,0
